path,segment_number
intermediate/segmented/v_1.wav,1
intermediate/segmented/v_2.wav,2
intermediate/segmented/v_3.wav,3
intermediate/segmented/v_5.wav,5
intermediate/segmented/v_6.wav,6
intermediate/segmented/v_16.wav,16
intermediate/segmented/v_17.wav,17
intermediate/segmented/v_20.wav,20
intermediate/segmented/v_26.wav,26
intermediate/segmented/v_27.wav,27
intermediate/segmented/v_28.wav,28
